¿Qué quiere decir "célula"?2;Unidad básica de los seres vivos;Elemento estructural de base de los tejidos;Elemento funcional de base de los tejidos
¿Qué quiere decir "PM2.5"?2;Partículas de diámetro inferior a 2,5 micrómetros;Partículas de diámetro inferior a 2,5 macrómetros;Partículas de diámetro inferior a 2,5 milímetros
¿Qué quiere decir "PM10"?2;Partículas de diámetro inferior a 10 micrómetros;Partículas de diámetro inferior a 10 picómetros;Partículas de diámetro inferior a 10 partes por millón
¿Qué quiere decir "virus"?3;Genomas encapsulados y no encapsulados;Genomas no encapsulados;Genomas encapsulados
¿Qué quiere decir "moco"?3;Recubrimiento líquido de aproximadamente 5 micrómetros de espesor que cubre las paredes del tracto respiratorio;Recubrimiento líquido de aproximadamente 2 micrómetros de espesor que cubre las fosas nasales;Recubrimiento líquido de aproximadamente 3 micrómetros de espesor que cubre el interior de la nariz
¿Qué quiere decir "tejido"?3;Estructura compuesta de células que efectúan una misma tarea por la totalidad del organismo;Estructura compuesta de células idénticas que efectúan una misma tarea;Estructura compuesta de células
¿Qué quiere decir "órgano"?2;Parte del cuerpo que ejecuta una función específica o vital;Parte del cuerpo que ejecuta una función vital;Parte del cuerpo que ejecuta una función específica
¿Qué quiere decir "organismo"?2;Célula o grupo de células con más cooperación que conflicto;Célula o grupo de células interconectadas;Célula o grupo de células
Durante las clases en línea, ha sido posible…1;no usar pantalones;no usar remera;quedarse conectado en clase
¿Qué quiere decir "agente patógeno"?3;Organismo que causa efectos negativos en el organismo huésped;Organismo que causa síntomas en el organismo huésped;Organismo que causa enfermedades
¿Cuál es el reino del SARS-CoV-2?3;Orthornavirae;Sarscivirae;Coronavirae
¿Cuál es el orden del SARS-CoV-2?3;Nidovirales;Sarscovirales;Coronavirales
¿Cuál es el suborden del SARS-CoV-2?3;Cornidovirineae;Coronavirineae;Sarscovirineae
¿Cuál es la subfamilia del SARS-CoV-2?3;Orthocoronavirinae;Betacoronavirinae;Paravirinae
¿Cuál es el género del SARS-CoV-2?3;Betacoronavirus;Orthocoronavirus;Sarscov
¿Cuál es el dominio del SARS-CoV-2?3;Riboviria;Coronaviria;Sarscov
¿Qué quiere decir "microbio"?2;Ser viviente microscópico que provoca enfermedades;Ser viviente que provoca enfermedades;Ser viviente microscópico
¿Qué quiere decir "virión"?2;Partícula viral;Genoma viral;Gen viral
¿Qué quiere decir "virófago"?2;Virus capaz de infectar otros virus más grandes para replicarse;Virus en fase de crecimiento estacionario;Virus muerto
¿Puede un virus infectar otro virus?2;Sí;No;No, porque los virus no tienen maquinaria celular
¿Cuál es la clase del SARS-CoV-2?3;Pisonviricetes;Coronaviridae;Betacoronavireae
¿Son todos los virus nefastos?2;No. Los bacteriófagos infectan solamente las bacterias que pueden ser peligrosas para los humanos;No. Hay virus que curan ciertas enfermedades humanas;Sí
¿Qué quiere decir "ARN"?1;Ácido ribonucleico;Ácido ribinucleico;Ácido desoxirribonucleico
¿Qué quiere decir "ADN"?1;Ácido desoxirribonucleico;Ácido ribonucleico;Ácido desoxidoribonucleico
¿Qué quiere decir "gen"?2;Unidad de herencia;Unidad de ADN;Unidad de genoma
¿Qué quiere decir "genoma"?3;Serie de material genético del organismo;Conjunto de genes;Unidad de material genético
¿Qué quiere decir "bacteriófago"?2;Virus que infecta las bacterias únicamente;Virus creado exclusivamente por bacterias;Virus capaz de infectar bacteria
¿Cuál es la diferencia entre virus y virión?3;El término virus designa el proceso de infección viral, mientras que virión designa, la partícula viral producida después de la replicación;El término virus designa el virus inicial, mientras que virión designa los virus producidos después de la replicación;El término virus designa todos los virus de tamaño superior a 5 nanómetros, mientras que virión designa todos los virus de tamaño inferior a 5 nanómetros
¿Cuál es el origen de la palabra "virus"?3;La palabra viene del latín y quiere decir "secreción venenosa";La palabra viene del latín y quiere decir "microbio";La palabra viene del griego y quiere decir "secreción venenosa"
¿Cómo se llama el ancestro universal de todas las células?2;LUCA (Last Universal Common Ancestor);FUCA (First Universal Common Ancestor);UCA (Universal Common Ancestor)
¿Cómo ha variado la trampa durante los exámenes en línea?1;Ha aumentado;No cambió;Ha disminuido
¿Cuál es el subgénero del SARS-CoV-2?3;Sorbecovirus;Coronavirae;Sarscov
¿Qué quiere decir "SARS-CoV-2"?1;Severe Acute Respiratory Syndrome Coronavirus 2 (coronavirus 2 del síndrome respiratorio agudo severo);Soft Airborne Respiratory Syndrome Coronavirus 2 (coronavirus 2 del síndrome respiratorio leve aerotransportado);Severe Airborne Respiratory Syndrome Coronavirus 2 (coronavirus 2 del síndrome respiratorio severo aerotransportado)
