Welche Zellen sind für die Bekämpfung von Krankheitserregern verantwortlich, die in den Körper gelangen?3;T-Lymphozyten;C-Lymphozyten;Weiße Blutkörperchen
Kann ein Impfstoff unsere DNA verändern?3;Nein;Ja;Ja, aber nur ein RNA-Impfstoff
Warum muss das Coronavirus eine Wirtszelle infizieren, um sich zu vermehren?2;Weil es keine eigene Übersetzungsmaschinerie zum Reproduzieren hat;Weil es keine eigene DNA zur Reproduktion hat;Weil es keine eigene RNA zur Reproduktion hat
Was sind die wichtigsten Arten von Impfstoffen?3;Abgeschwächte Lebendimpfstoffe, Konjugatimpfstoffe, inaktivierte Impfstoffe und Toxoidimpfstoffe;Abgeschwächte Lebendimpfstoffe, inaktivierte Impfstoffe und Toxoidimpfstoffe;Abgeschwächte Impfstoffe, Konjugat-Impfstoffe, inaktivierte Impfstoffe und Toxoid-Impfstoffe
Was ist die Definition eines Impfstoffs?3;Biologika, die adaptive Immunität gegen bestimmte Krankheiten bieten;Biologisches Produkt, das eine Anpassung an eine bestimmte Krankheit ermöglicht;Biologisches Produkt, das Immunität gegen bestimmte Krankheiten bietet
Welche Arten von Screening-Tests gibt es?2;Direkter Test (Nachweis des viralen Genoms) und indirekter Test (Beurteilung der Serumantikörperspiegel);Bluttests und Speicheltests;Atemtest und Antikörpertest
Hilft Rauchen bei einer Virusinfektion?2;Nein;Ja;Ja, aber nur für ehemalige Raucher, deren Lungenwände bereits mit Schleim bedeckt sind
Wer hat ein höheres Risiko, an einer Virusinfektion zu erkranken, ein ehemaliger Raucher oder ein aktueller Raucher?2;Beide gleichermaßen;Ehemaliger Raucher;Derzeitiger Raucher
Wie ist das Größenverhältnis zwischen einem Virus und einer menschlichen Zelle?2;Menschliche Zellen sind 100 bis 1000 mal größer als Viren;Menschliche Zellen sind 10 bis 100 mal größer als Viren;Menschliche Zellen sind 2 bis 3 mal größer als Viren
Wie ist das Erbgut von Viren zusammengesetzt?1;DNA oder RNA;DNA;RNA
Was ist größer, ein Virus oder ein Bakterium?2;Bakterien (im Durchschnitt etwa tausendmal größer);Viren (durchschnittlich etwa doppelt so groß);Beide können unterschiedlich groß und recht ähnlich sein
Was ist ein Kapsid?3;Proteinhülle des Virus;Peptidabdeckung viraler DNA;Virusmembran
Woraus besteht das Nukleokapsid des Virus?3;Kapsid und Nukleinsäure;Kapsid und Ribonukleinsäure (RNA);Kapsid und virales Genom
Was ist die Virushülle?3;Lipidmembran, die aus einer der Zellmembranen stammt;Äußerer Schutz gegen die Wirtszelle;Proteinmembran
Was ist in der Virusmembran enthalten?3;Nukleinsäure und Genom;Nukleinsäure;Nukleinsäure und Ribonicleinsäure (DNA)
Woraus besteht das Genom?3;Nukleinsäure;Ribonukleinsäure;Denaturierte Proteine
Warum kann das Virus zu Geruchsverlust führen?2;Denn es greift vor allem Nasen- und Lungenepithelzellen an;Weil es dazu führt, dass sich die Nase mit Schleim füllt;Denn es greift die für den Geruch verantwortlichen Gehirnzellen an
Anhand welcher Symptome lässt sich zwischen einer COVID-19-Virusinfektion und einer Grippe unterscheiden?2;Atembeschwerden;Ständiger trockener Husten;Kopfschmerzen
Welche Epidemie verursachte im gleichen Zeitraum die meisten Krankenhauseinweisungen?3;Covid hat doppelt so viele Krankenhauseinweisungen verursacht wie die saisonale Grippe;Die saisonale Grippe verursachte doppelt so viele Krankenhauseinweisungen wie Covid;Die Schwarze Pest verursachte doppelt so viele Krankenhauseinweisungen wie Covid
Welche Epidemie ist tödlicher?3;Covid hat dreimal mehr Krankenhaustote verursacht als die saisonale Grippe;Covid hat doppelt so viele Krankenhaustote verursacht wie Cholera;Covid hat dreimal mehr Krankenhaustote verursacht als Pocken
Ist eine fäkal-orale Übertragung des Virus möglich?2;Ja;Nein;Nur unter Tieren
Wie viel Prozent der Patienten können Geschmacks- oder Geruchsstörungen aufweisen?3;53%;21%;38%
Ist es eine gute Idee, während der Pandemie zu weinen?1;Nein, denn Tränen können das Virus enthalten;Ja, das Ausdrücken von Gefühlen ist entscheidend, um unsere Emotionen gut zu kanalisieren;Nein, wir müssen unsere mentale Stärke zeigen
Ist eine laufende Nase ein mögliches Symptom von COVID-19?1;Nein;Ja, aber abhängig von der Dauer des Flusses;Ja
Wie viel Prozent der Übertragungen finden statt, bevor der ursprüngliche Fall (Indexfall) Symptome entwickelt?2;12%;3%;54%
Sind Halsschmerzen ein mögliches Symptom von COVID-19?2;Nein;Ja;Ja, aber abhängig von der Dauer
Liefert der Speicheltest schnellere Ergebnisse als der Nasentest?2;Nein;Ja;Nein, beide sind ungefähr gleich lang
Welcher Test ist einfacher?2;Der Speicheltest;Der Nasentest;Der Atemtest
Ist Fettleibigkeit einer der erschwerendsten Faktoren, wenn man an COVID-19 erkrankt?2;Ja;Nein;Vielleicht
Ist das Alter einer der erschwerendsten Faktoren, wenn man an COVID-19 erkrankt?2;Ja;Nein;Vielleicht
Ist Diabetes einer der erschwerendsten Faktoren, wenn man an COVID-19 erkrankt?2;Ja;Nein;Vielleicht
Ist Bluthochdruck einer der erschwerendsten Faktoren, wenn man an COVID-19 erkrankt?2;Ja;Nein;Vielleicht
Ist die ethnische Zugehörigkeit einer der erschwerendsten Faktoren, wenn Sie an COVID-19 erkranken?2;Nein;Ja;Könnte sein
Ist die soziale Zugehörigkeit einer der erschwerendsten Faktoren, wenn man an COVID-19 erkrankt?2;Nein;Ja;Vielleicht
