Hvilke celler er ansvarlige for å bekjempe patogener som kommer inn i kroppen?3;T-lymfocytter;C-lymfocytter;Hvite blodceller
Kan en vaksine endre vårt DNA?3;Nei;Ja;Ja, men bare en RNA-vaksine
Hvorfor må koronaviruset infisere en vertscelle for å reprodusere seg?2;Fordi den ikke har sin egen oversettelsesmotor å reprodusere;Fordi den ikke har noe eget DNA å reprodusere;Fordi det ikke har sitt eget RNA å reprodusere
Hva er hovedtypene av vaksiner?3;Levende svekkede vaksiner, konjugatvaksiner, inaktiverte vaksiner og toksoidvaksiner;Levende svekkede vaksiner, inaktiverte vaksiner og toksoidvaksiner;Dempede vaksiner, konjugatvaksiner, inaktiverte vaksiner og toksoidvaksiner
Hva er definisjonen på en vaksine?3;Biologiske legemidler som gir adaptiv immunitet mot visse sykdommer;Biologisk produkt som muliggjør tilpasning til en spesifikk sykdom;Biologisk produkt som gir immunitet mot visse sykdommer
Hvilke typer screeningtester finnes det?2;Direkte test (påvisning av virusgenomet) og indirekte test (vurdering av serumantistoffnivåer);Blodprøver og spyttprøver;Pustetest og antistofftest
Hjelper røyking mot en virusinfeksjon?2;Nei;Ja;Ja, men bare for tidligere røykere hvis lungevegger allerede er dekket med slim
Hvem har størst risiko for å utvikle en virusinfeksjon: en tidligere røyker eller en nåværende røyker?2;Begge likt;Nåværende røyker;Tidligere røyker
Hva er forholdet mellom et virus og en menneskelig celle?1;Menneskelige celler er 100 til 1000 ganger større enn virus;Menneskelige celler er 10 til 100 ganger større enn virus;Menneskeceller er 2 til 3 ganger større enn virus
Hvordan er genomet til virus sammensatt?2;DNA eller RNA;DNA;RNA
Hva er større: et virus eller en bakterie?2;Bakterier (i gjennomsnitt omtrent tusen ganger større);Virus (i gjennomsnitt omtrent dobbelt så store);Begge kan ha forskjellige størrelser og se ganske like ut
Hva er en kapsid?3;Proteinbelegget til viruset;Peptiddekning av viralt DNA;Viral membran
Hva består virusnukleokapsidet av?3;Kapsid og nukleinsyre;Kapsid og ribonukleinsyre (RNA);Kapsid og viralt genom
Hva er den virale konvolutten?3;Lipidmembran som kommer fra en av cellemembranene;Ekstern beskyttelse mot vertscellen;Proteinmembran
Hva er i virusmembranen?3;Nukleinsyre og genom;Nukleinsyre;Nukleinsyre og ribonkleinsyre (DNA)
Hva består genomet av?3;Nukleinsyre;Ribonukleinsyre;Denaturerte proteiner
Hvorfor kan viruset forårsake tap av lukt?2;Fordi det hovedsakelig angriper nese- og lungeepitelceller;Fordi det får nesen til å fylles med slim;Fordi det angriper hjernecellene som er ansvarlige for lukt
Hvilke symptomer kan brukes for å skille mellom en COVID-19-virusinfeksjon og influensa?2;Pustevansker;Konstant tørr hoste;Hodepine
Hvilken epidemi forårsaket flest sykehusinnleggelser i samme periode?3;Covid har forårsaket dobbelt så mange sykehusinnleggelser som sesonginfluensa;Sesongbetinget influensa forårsaket dobbelt så mange sykehusinnleggelser som Covid;Den svarte pesten forårsaket dobbelt så mange sykehusinnleggelser som Covid
Hvilken epidemi er dødeligst?3;Covid har forårsaket tre ganger flere dødsfall på sykehus enn sesonginfluensa;Covid har forårsaket dobbelt så mange sykehusdødsfall som kolera;Covid har forårsaket tre ganger flere sykehusdødsfall enn kopper
Er fekal-oral overføring av viruset mulig?2;Ja;Nei;Bare blant dyr
Hvor mange prosent av pasientene kan ha smak- eller luktforstyrrelser?3;53%;21%;38%
Er det en god idé å gråte under pandemien?1;Nei, fordi tårer kan inneholde viruset;Ja, å uttrykke følelser er avgjørende for å kanalisere følelsene våre riktig;Nei, vi må vise vår mentale styrke
Er rennende nese et mulig symptom på COVID-19?1;Nei;Ja, men avhengig av elvens varighet;Ja
Hvor mange prosent av infeksjonene oppstår før det opprinnelige tilfellet (indekstilfellet) utvikler symptomer?2;12%;3%;54%
Er sår hals et mulig symptom på COVID-19?2;Nei;Ja;Ja, men avhengig av varigheten
Gir spytttesten resultater raskere enn neseprøven?2;Nei;Ja;Nei, begge er omtrent like lange
Hvilken test er lettere?2;Spytttesten;Neseprøven;Pusteprøven
Er fedme en av de mest kompliserende faktorene for å få COVID-19?2;Ja;Nei;Kan være
Er alder en av de mest kompliserende faktorene for å få COVID-19?2;Ja;Nei;Kan være
Er diabetes en av de mest kompliserende faktorene for å få COVID-19?2;Ja;Nei;Kan være
Er høyt blodtrykk en av de mest skjerpende faktorene for å få COVID-19?2;Ja;Nei;Kan være
Er etnisitet en av de mest kompliserende faktorene hvis du får COVID-19?2;Nei;Ja;Kunne vært
Er sosial tilknytning en av de mest kompliserende faktorene for å få COVID-19?2;Er sosial tilknytning en av de mest kompliserende faktorene for å få COVID-19?;Ja;Kan være
