Was bedeutet “Viruseliminierung” epidemiologisch?2;Reduzierung der Fallübertragung auf ein vorgegebenes, sehr niedriges Niveau;Reduzierung der Übertragungsfälle auf 0 Fälle;Dauerhaftes Verschwinden des Virus
Was nutzen Impfstoffe gegen inaktivierte Krankheitserreger?3;Eine modifizierte Form des Erregers;Eine abgeschwächte Form des Erregers;Eine tote Form des Erregers
Mit welchen Mitteln lassen sich Viren inaktivieren?1;Chemikalien, Hitze oder Strahlung;Chemikalien oder Hitze;Hitze oder Strahlung
Was sind die Grundbestandteile eines Impfstoffs?3;Stabilisatoren, Antibiotika, Konservierungsmittel, Spurenelemente, Adjuvantien und Wirkstoffe;Stabilisatoren, Antibiotika, Konservierungsmittel und Wirkstoffe;Stabilisatoren, Antibiotika und Konservierungsstoffe
Was ist der wirksamste Weg, die COVID-19-Pandemie zu kontrollieren, wenn es kein Heilmittel gibt?2;Impfung;Isolierung;Sanitärhygiene
Was ist ein Vektorimpfstoff?3;Impfstoffe mit harmlosen Viren, um das genetische Material des Krankheitserregers in die Wirtszellen zu transportieren;Entwickelte Impfstoffe, die abgetötete Viren verwenden, um das genetische Material des Krankheitserregers an Wirtszellen zu transportieren und so Immunreaktionen zu simulieren;Referenzimpfstoffe
Wenn das Virus abgeschwächt ist…3;es ist noch am Leben, löst aber eine schwache Immunantwort aus;es ist noch am Leben, aber es ist inaktiv;es ist immer noch tot, verursacht aber eine schwache Immunantwort
Welche Funktion hat ein Labor?2;Das Hauptziel eines Labors besteht darin, zuverlässige Ergebnisse zu liefern;Der Hauptzweck eines Labors ist die Durchführung von Experimenten;Die Hauptaufgabe eines Labors besteht darin, Hypothesen zu überprüfen
Was sind die wichtigsten Arten von Laboren?1;Labor für Chemie, Biologie, Physik und Radiologie;Chemie-, Biologie- und Physiklabor;Chemie- und Biologielabor
Ist es wahrscheinlich, dass Viren Leben hervorgebracht haben?2;Ja;Nein;Vielleicht
Befallen Viren alle lebenden Organismen?2;Ja;Nein;Nein, nur vielzellige Organismen
Virenexperten heißen…1;Virologen;Mikrobiologen;Bakteriologen
Die Wissenschaft der Viren heißt…1;Virologie;Biologie;Mikrobiologie
Was sind die zahlreichsten biologischen Einheiten auf dem Planeten?2;Viren;Pflanzen;Menschen
Das Virus ist ein __ Wesen1;lebend oder nichtlebend;nicht lebende;lebende
Wie viel Prozent unseres genetischen Codes sind viralen Ursprungs?2;Etwa 10%;Etwa 2%;Etwa 1%
Was ist das erste Coronavirus, für das wir Beweise haben?3;B814;SarsCov-00;MersCov-00
In welcher Sprache werden wissenschaftliche Namen kommuniziert?2;Latein;Englisch;Deutsch
Warum werden wissenschaftliche Namen auf Latein kommuniziert?2;Kein bestimmter Grund;Von den Adligen der Renaissance vorgegebenes Prinzip;Denn Latein war lange Zeit die Sprache wissenschaftlicher Erkenntnisse
Welche Handschrift muss offiziell zur Benennung von Viren verwendet werden?3;Kursivschrift;Großbuchstabe;Alphabetisch
Wie viele infizierte Zellen hat eine Person mit SARS-CoV-2?3;Ungefähr 10e¹¹;Ungefähr 10.000;Ungefähr 2,5e⁸
Wie hoch ist die Gesamtmasse an Virionen bei einem infizierten Patienten während des Höhepunkts der Infektion?3;0,0001g;0,000000001g;0,000000000000000001g
Gibt es einen Zusammenhang zwischen der Schwere der Erkrankung und der Luftverschmutzung?1;Ja;Nein;Vielleicht
Welche 5 Hauptschadstoffe sind für die Verschlechterung des Immunsystems verantwortlich?3;O₃, NO, NO₂, PM2,5 und PM10;O₃, NO, NO₂, CO₂ und CO;CH₄, NO, NO₂, CO und CO₂
Was verursachte 2019 die meisten Todesfälle?2;Luftverschmutzung;COVID 19;Krebs
Was verursachte 2019 die höchste Zahl vorzeitiger Todesfälle?3;Luftverschmutzung;COVID 19;Krebs
Warum verschlimmert Luftverschmutzung die Schwere von COVID-19?2;Weil es die körperliche Verfassung verschlechtert und die Ausbreitung des Virus in der Luft begünstigt;Weil sich die körperliche Verfassung verschlechtert;Weil es die Ausbreitung des Virus über die Luft unterstützt
Welcher Schadstoff trägt am meisten zur Ausbreitung des Virus bei?3;PM2,5;PM10;NO₂
Wie viel Prozent der infizierten Patienten benötigen eine intensivmedizinische Betreuung?3;Ungefähr 20%;Ungefähr 10%;Ungefähr 15%
Wie viel Prozent der Krankenhauspatienten sterben auf der Intensivstation?3;Mehr als 10%;Mehr als 5%;Mehr als 20%
Ist der menschliche Körper steril?2;Nein, in unserem Körper gibt es mehr Bakterienzellen als menschliche Zellen;Nein, es gibt Bakterienzellen;Nein, es gibt Bakterienzellen und Mikroben
Gibt es Viren im menschlichen Körper?3;Ja, und viele;Manchmal, wenn man krank wird;Nein
Welche Mikroorganismen kommen in unserem Kot vor?3;Viren, Bakterien, Protisten, Archaeen und Pilze;Viren, Bakterien und Protisten;Bakterien, Protisten und Pilze
Wo in unserem Körper kommen die meisten Mikroben vor?2;Im Magen-Darm-Trakt;Im Magen;In der Kehle
