Wat betekent “viruseliminatie” in epidemiologische termen?2;Reductie van de overdracht van gevallen tot een vooraf bepaald, zeer laag niveau;Reducering van transmissiegevallen naar 0 gevallen;Definitieve verdwijning van het virus
Wat gebruiken vaccins tegen geïnactiveerde ziekteverwekkers?3;Een dode vorm van de ziekteverwekker;Een gemodificeerde vorm van de ziekteverwekker;Een verzwakte vorm van de ziekteverwekker
Welke middelen kunnen worden gebruikt om virussen te inactiveren?1;Chemicaliën, hitte of straling;Chemicaliën of hitte;Warmte of straling
Wat zijn de basiscomponenten van een vaccin?3;Stabilisatoren, antibiotica, conserveermiddelen, sporenelementen, hulpstoffen en actieve ingrediënten;Stabilisatoren, antibiotica, conserveermiddelen en actieve ingrediënten;Stabilisatoren, antibiotica en conserveermiddelen
Wat is de meest effectieve manier om de COVID-19-pandemie onder controle te houden, als er geen remedie is?2;Vaccinatie;Isolatie;Sanitaire hygiëne
Wat is een vectorvaccin?3;Vaccins met onschadelijke virussen om het genetische materiaal van de ziekteverwekker aan de gastheercellen af ​​te geven;Ontwikkelde vaccins waarbij gebruik wordt gemaakt van gedode virussen om het genetische materiaal van de ziekteverwekker af te leveren aan gastheercellen om immuunreacties te simuleren;Referentievaccins
Als het virus verzwakt is…3;het leeft nog maar veroorzaakt een zwakke immuunrespons;het leeft nog, maar is inactief;het is nog steeds dood, maar veroorzaakt een zwakke immuunrespons
Wat is de functie van een laboratorium?2;Het hoofddoel van een laboratorium is het leveren van betrouwbare resultaten;Het hoofddoel van een laboratorium is het uitvoeren van experimenten;Het hoofddoel van een laboratorium is het verifiëren van hypothesen
Wat zijn de belangrijkste soorten laboratoria?1;Laboratorium voor scheikunde, biologie, natuurkunde en radiologie;Laboratorium voor scheikunde, biologie en natuurkunde;Laboratorium voor scheikunde en biologie
Is het waarschijnlijk dat virussen leven hebben voortgebracht?2;Ja;Nee;Misschien
Hebben virussen invloed op alle levende organismen?2;Ja;Nee;Nee, alleen meercellige organismen
Virusexperts heten…1;virologen;microbiologen;bacteriologen
De wetenschap van virussen heet…1;virologie;biologie;microbiologie
Wat zijn de meest talrijke biologische entiteiten op aarde?2;Virussen;Planten;Mensen
Het virus is een __ wezen1;levend of niet-levend;niet-levende;levend
Uit welk percentage van virale oorsprong bestaat onze genetische code?2;Ongeveer 10%;Ongeveer 2%;Ongeveer 1%
Wat is het eerste coronavirus waar we bewijs van hebben?3;B814;SarsCov-00;MersCov-00
Welke taal wordt gebruikt om wetenschappelijke namen te communiceren?2;Latijns;Engels;Nederlans
Waarom worden wetenschappelijke namen in het Latijn gecommuniceerd?2;Geen speciale reden;Principe vooraf vastgesteld door de edelen van de Renaissance;Omdat Latijn lange tijd de taal van wetenschappelijke kennis was
Welk handschrift moet officieel worden gebruikt om virussen te benoemen?3;Cursief;Hoofdletter;Alfabetisch
Wat is het aantal geïnfecteerde cellen bij een persoon die SARS-CoV-2 heeft?3;Ongeveer 10e¹¹;Ongeveer 10.000;Ongeveer 2,5e⁸
Wat is de totale massa aan virionen in een geïnfecteerde patiënt tijdens de piek van de infectie?3;0,0001 g;0,000000001g;0,0000000000000000001g
Bestaat er een verband tussen de ernst van de ziekte en de niveaus van luchtverontreiniging?1;Ja;Nee;Misschien
Wat zijn de vijf belangrijkste verontreinigende stoffen die verantwoordelijk zijn voor de verslechtering van het immuunsysteem?3;O₃, NO, NO₂, PM2,5 en PM10;O₃, NO, NO₂, CO₂ en CO;CH₄, NO, NO₂, CO en CO₂
Wat veroorzaakte het hoogste aantal sterfgevallen in 2019?2;Luchtvervuiling;COVID 19;Kanker
Wat veroorzaakte het hoogste aantal voortijdige sterfgevallen in 2019?3;Luchtvervuiling;COVID 19;Kanker
Waarom verergert luchtvervuiling de ernst van COVID-19?2;Omdat het de fysieke conditie verslechtert en de verspreiding van het virus in de lucht helpt;Omdat de fysieke toestand verslechtert;Omdat het helpt dat het virus zich via de lucht verspreidt
Welke verontreinigende stof zorgt ervoor dat het virus zich het meest verspreidt?3;PM2,5;PM10;NO₂
Welk percentage van de geïnfecteerde patiënten heeft intensieve medische zorg nodig?3;Ongeveer 20%;Ongeveer 10%;Ongeveer 15%
Welk percentage van de gehospitaliseerde patiënten overlijdt op de intensive care?3;Meer dan 10%;Meer dan 5%;Meer dan 20%
Is het menselijk lichaam steriel?2;Nee, er zijn meer bacteriële cellen dan menselijke cellen in ons lichaam;Nee, er zijn bacteriële cellen;Nee, er zijn bacteriële cellen en microben
Zijn er virussen in het menselijk lichaam?3;Ja, en veel;Soms, als je ziek wordt;Nee
Welke micro-organismen zitten in onze ontlasting?3;Virussen, bacteriën, protisten, archaea en schimmels;Virussen, bacteriën en protisten;Bacteriën, protisten en schimmels
Waar bevinden zich de meeste microben in ons lichaam?2;In het maag-darmkanaal;In de maag;In de keel
