Qu’est-ce que «cellule» veut dire?2;Unité basique des êtres vivants;Élément de base structurel des tissus;Élément de base fonctionnel des tissus
Qu’est-ce que «PM2.5» veut dire?2;Particules de diamètre inférieur à 2,5 micromètres;Particules de diamètre inférieur à 2,5 macromètres;Particules de diamètre inférieur à 2,5 milimètres
Qu’est-ce que «PM10» veut dire?2;Particules de diamètre inférieur à 10 micromètres;Particules de diamètre inférieur à 10 picomètres;Particules de diamètre inférieur à 10 parties par million
Qu’est-ce que «virus» veut dire?3;Génomes encapsulés et non-encapsulés;Génomes non-encapsulés;Génomes encapsulés
Qu’est-ce que «mucus» veut dire?3;Couche liquide d’environ 5 micromètres d’épaisseur qui couvre les parois du tractus respiratoire;Couche liquide d’environ 2 micromètres d’épaisseur qui couvre les fosses nasales;Couche liquide d’environ 3 micromètres d’épaisseur qui couvre l’intérieur du nez
Qu’est-ce que «tissu» veut dire?3;Structure composée de cellules qui effectuent une même tâche pour l’ensemble de l’organisme;Structure composée de cellules;Structure composée de cellules identiques qui effectuent une même tâche
Qu’est-ce que «organe» veut dire?2;Partie du corps qui exerce une fonctionne spécifique ou vitale;Partie du corps qui exerce une fonctionne vitale;Partie du corps qui exerce une fonctionne spécifique
Qu’est-ce que «organisme» veut dire?2;Cellule ou groupe de cellules avec plus de coopération que de conflit;Cellule ou groupe de cellules;Cellule ou groupe de cellules interconnectée
Pendant les cours en ligne, il a été désormais possible de…1;ne pas porter de pantalons;ne pas porter de t-shirt;rester en ligne dans la classe
Qu’est-ce que «agent pathogène» veut dire?3;Organisme qui cause des effets négatifs au niveau de l’organisme hôte;Organisme qui cause des symptômes au niveau de l’organisme hôte;Organisme qui cause des maladies
Quel est le royaume règne du SARS-CoV-2?3;Orthornavirae;Coronavirae;Sarscivirae
Quel est l‘ordre du SARS-CoV-2?3;Nidovirales;Sarscovirales;Coronavirales
Quel est le sous-ordre du SARS-CoV-2?3;Cornidovirineae;Coronavirineae;Sarscovirineae
Quelle est la sous-famille du SARS-CoV-2?3;Orthocoronavirinae;Betacoronavirinae;Paravirinae
Quel est le genre du SARS-CoV-2?3;Betacoronavirus;Sarscov;Orthocoronavirus
Quel est le domaine du SARS-CoV-2?3;Riboviria;Sarscov;Coronaviria
Qu’est-ce que «microbe» veut dire?2;Être vivant microscopique qui provoque des maladies;Être vivant qui provoque des maladies;Être vivant microscopique
Qu’est-ce que «virion» veut dire?2;Particule virale;Génome viral;Gène viral
Qu’est-ce que «virophage» veut dire?2;Virus capable d’infecter d’autres virus plus grands pour se répliquer;Virus en phase de croissance stationnaire;Virus mort
Un virus peut-il infecter un autre virus?2;Oui;Non;Non, parce qu’un virus n’a pas de machinerie cellulaire
Quelle est la classe du SARS-CoV-2?3;Pisonviricetes;Coronaviridae;Betacoronavireae
Est-ce que tous les virus sont néfastes?2;Non. Les bactériophages infectent seulement les bactéries qui peuvent être dangereuses pour les humains;Non. Il y a de virus qui soignent certaines maladies chez l’homme;Oui
Qu’est-ce que «ARN» veut dire?1;Acide ribonucléique;Acide ribinucléique;Acide désoxyribonucléique
Qu’est-ce que «ADN» veut dire?1;Acide désoxyribonucléique;Acide désoxyribinucléique;Acide ribonucléique
Qu’est-ce que «gène» veut dire?2;Unité d’hérédité;Unité d’ADN;Unité de génome
Qu’est-ce que «génome» veut dire?3;Série de matériel génétique de l’organisme;Ensemble de gènes;Unité de matériel génétique
Qu’est-ce que «bactériophage» veut dire?2;Virus qui infectent des bactéries uniquement;Virus créé exclusivement par des bactéries;Virus capable d’infecter des bactéries
Quelle est la différence entre virus et virion?3;Le terme virus désigne le processus d’infection virale, pendant que virion désigne, plus précisément, la particule virale produite après réplication;Le terme virus désigne le virus initial, pendant que virion désigne, les virus produits après réplication;Le terme virus désigne tous les virus de taille supérieure à 5 nanomètres, pendant que virion désigne tous les virus de taille inférieure à 5 nanomètres
Quel est l’origine du mot virus?3;Il vient du latin et veut dire «sécrétion vénéneuse»;Il vient du grec et veut dire «sécrétion vénéneuse»;Il vient du latin et veut dire «microbe»
Comment s’appelle l’ancêtre universel de toutes les cellules?2;LUCA (Last Universal Common Ancestor);FUCA (First Universal Common Ancestor);UCA (Universal Common Ancestor)
Comment la tricherie a-t-elle évolué durant les examens en ligne?1;Elle a augmenté;Elle est restée stable;Elle a diminué
Quel est le sous-genre du SARS-CoV-2?3;Sarbecovirus;Coronavirae;Sarscov
Qu’est-ce que «SARS-CoV-2» veut dire?1;Severe Acute Respiratory Syndrom Coronavirus 2 (coronavirus 2 du syndrome respiratoire aigu sévère);Soft Airborne Respiratory Syndrom Coronavirus 2 (coronavirus 2 du syndrome respiratoire doux aéroporté);Severe Airborne Respiratory Syndrom Coronavirus 2 (coronavirus 2 du syndrome respiratoire sévère aéroporté)
