To wash vegetables that were exposed to the public, it is enough to…1;soak them in cold water;wipe them with a clean cloth;soak them in hot water
Why does buying a vodka and drinking it not help against COVID-19 as Mr. Trump has said?1;Because alcohol depresses the immune system;Because the alcohol in the vodka is too concentrated;Because the alcohol in the vodka is not concentrated enough
What is the ideal temperature for viruses?2;20°C;10°C;30°C
What is the optimal relative humidity to contain the virus for as long as possible?3;About 80%;Around 100%;Around 50%
Does the mask prevent the dispersion of expired droplets through the mouth when coughing?3;No;Yes;Yes, because it holds the breath
Thanks to a cough or sneeze, the virus can be projected to…3;more than 2 meters;more than 3 meters;more than 1 meter
While talking, the virus is projected to…2;less than 1 meter;less than 2 meters;more than 1 meter
The virus can enter my body through…2;the nose and the mouth;the nose, the mouth, and the eyes;the nose, the mouth, the eyes, and the ears
Do beliefs play a role when following the measures against COVID-19?1;Yes;No, it is a matter of local policies;No, it is simply collective responsibility
Can the virus persist in frozen food?3;Yes;Yes, but not for long;No, the cold kills viruses and bacteria
Are there viruses in food?3;Yes;Yes, except for frozen foods;No
What percentage of deaths occurs through formites?3;25%;10%;45%
What has the most influence on SARS-CoV-2?3;Temperature;Humidity;pH
SARS-CoV-2 has a half-life on copper of…3;1h;2h;4h
SARS-CoV-2 is detectable on cotton during…3;24h;10h;3h
SARS-CoV-2 can be inactivated by exposure to…3;UV radiation;infrared rays;gamma radiation
SARS-CoV-2 has a lifetime on copper of…3;4h;2h;1h
SARS-CoV-2 is infectious on plastic for…3;120h;12h;30h
SARS-CoV-2 is infectious on glass for…3;120h;60h;30h
SARS-CoV-2 is infectious on stainless steel for…3;72h;24h;48h
Which materials protect better against the virus, absorbent materials or non-absorbent materials?3;Absorbent materials;Non-absorbent materials;None of both
Can the virus survive temperatures below -20°C?2;Yes, the virus is deactivated;No, the virus is deactivated;Yes
What disinfecting agent can be used to effectively inactivate SARS-CoV-2?2;Hydrogen peroxide;Methanol;Sodium chloride
Chlorine dioxide can decrease viral load in aerosols?2;Yes;No;No, only on the surfaces
Can peroxyacetic acid decrease viral load in aerosols?2;Yes;No;No, only on the surfaces
Can ozone decrease viral load in aerosols?3;Yes;No, because it is a gas;Yes, because it is a gas
What percentage of the world's population breathes air that does not meet the UN minimum standards?2;92%;64%;83%
What should be the minimum effectiveness of a mask to be considered to be used?3;94%;50%;99%
Can COVID-19 be detected by ultrasound?1;Yes;No;No, it's too miniscule for that
Is it better to use a non-certified mask or reuse a properly washed mask?2;A certified and reused mask;A non-certified mask;None of both
Are non-certified masks more effective than not wearing a mask?1;No;Yes;The two are equally ineffective
Does a good beer demotivate the virus?1;No;Yes;No, but it helps immunity
If you bought 140 rolls of toilet paper for 14 days of quarantine…1;You should have gone to the doctor long before the pandemic;You can be sure that it will be enough for 6 months;You can be sure that it will be enough for the entire pandemic
The increase in wind speed…2;decreases the incidence of COVID-19;increases the incidence of COVID-19;does not affect the incidence of COVID-19
