Para lavar las verduras que fueron expuestas al público, es suficiente de…1;mojarlas en agua fría;mojarlas en agua caliente;pasarles un trapo limpio
¿Por qué comprar un vodka y beberlo no ayuda contra el COVID-19 como el señor Trump ha dicho?1;Porque el alcohol deprime el sistema imunitario;Porque el alcohol en el vodka está demasiado concentrado;Porque el alcohol en el vodka no está suficientemente concentrado
¿Cuál es la temperatura ideal para virus?2;20°C;10°C;30°C
¿Cuál es la humedad relativa optimal para contener el virus la mayor cantidad de tiempo posible?3;Alrededor de 80%;Alrededor de 100%;Alrededor de 50%
¿El barbijo evita la dispersión de gotas expiradas por la boca cuando se tose?3;No;Sí;Sí, porque contiene el aliento
Gracias a una tos o estornudo, el virus puede ser proyectado a…3;más de 2 metros;más de 3 metros;más de 1 metro
Mientras se habla, el virus es proyectado a…2;menos de 1 metro;menos de 2 metros;más de 1 metro
El virus puede entrar en mi organismo por…2;la nariz y la boca;la nariz, la boca, y los ojos;la nariz, la boca, los ojos, y la orejas
¿Nos creencias juegan un rol a la hora de seguir las medidas contra el COVID-19?1;Sí;No, es cuestión de las políticas locales;No, se trata de la responsabilidad colectiva simplemente
¿El virus puede persistir en los alimentos congelados?3;Sí;No, el frío mata los virus y las bacterias;Sí, pero no por mucho tiempo
¿Puede haber virus en los alimentos?3;Sí;No;Sí, excepto en los alimentos congelados
¿Qué porcentaje de las muertes se hace a través de los fómites?3;25%;40%;10%
¿Qué es lo que tiene más influencia sobre el SARS-CoV-2?3;La temperatura;La humedad;El pH
El SARS-CoV-2 tiene una vida media sobre el cobre de…3;1h;2h;4h
El SARS-CoV-2 es detectable en algodón durante…3;24h;10h;3h
El SARS-CoV-2 puede ser inactivado por exposition a…3;radiación UV;rayos infrarrojos;radiación gamma
El SARS-CoV-2 tiene una duración de vida sobre el cobre de…3;4h;2h;1h
El SARS-CoV-2 es infeccioso sobre el plástico durante…3;120h;12h;30h
El SARS-CoV-2 es infeccioso sobre el vidrio durante…3;120h;60h;30h
El SARS-CoV-2 es infeccioso sobre el acero inoxidable durante…3;72h;24h;48h
¿Qué materiales protegen mejor contra el virus, los materiales absorbentes o los materiales no absorbentes?3;Los materiales absorbentes;Los materiales no absorbentes;Ninguno de los dos
¿Puede el virus sobrevivir a temperaturas bajo los -20°C?2;Sí, el virus se desactiva;No, el virus se desactiva;Sí
¿Qué agente desinfectante puede ser utilizado para inactivar eficazmente el SARS-CoV-2?2;Peroxido de hidrógeno;Metanol;Cloruro de sodio
¿El dióxido de cloro puede disminuir la carga viral en los aérosoles?2;Sí;No;No, solamente en las superficies
¿El ácido peroxiacético puede disminuir la carga viral en los aerosoles?2;Sí;No;No, solamente sobre la superficies
¿El ozono puede disminuir la carga viral en los aerosoles?3;Sí;No, porque es un gas;Sí, porque es un gas
¿Qué porcentaje de la población mundial respira aire que no satisface los estándares mínimos de la ONU?2;92%;64%;83%
¿Cuál debe ser la eficacia mínima de un barbijo para ser considerado a ser usado?3;94%;50%;99%
¿El COVID-19 puede ser detectado por ultrasonido?1;Sí;No;No, es demasiado minúsculo para eso
¿Es mejor utilizar un barbijo no certificado o reutilizar un barbijo lavado adecuadamente?2;Un barbijo certificado y reutilizado;Un barbijo no certificado;Ninguno de los dos
¿Los barbijos no certificados son más eficaces que no usar barbijo?1;No;Sí;Los dos son igualmente ineficaces
¿Una buena cerveza desmotiva al virus?1;No;Sí;No, pero ayuda la inmunidad
Si compraste 140 rollos de papel higiénico para 14 días de cuarentena…1;debiste haber ido del médico bastante antes de la pandemia;puedes estar seguro/a que va a ser suficiente para 6 meses;puedes estar seguro/a que va a ser suficiente para toda la pandemia
El aumento de la velocidad del viento…2;disminuye la incidencia del COVID-19;no afecta la incidencia del COVID-19;aumenta la incidencia del COVID-19
