For å vaske grønnsaker som ble utsatt for publikum, er det nok å…1;bløtlegg dem i kaldt vann;tørk av dem med en ren klut;bløtlegg dem i varmt vann
Hvorfor hjelper det ikke å kjøpe en vodka og drikke den mot COVID-19, som Mr Trump har sagt?1;Fordi alkohol demper immunforsvaret;Fordi alkoholen i vodkaen er for konsentrert;Fordi alkoholen i vodkaen ikke er konsentrert nok
Hva er den ideelle temperaturen for virus?2;20°C;10°C;30°C
Hva er den optimale relative fuktigheten for å inneholde viruset så lenge som mulig?3;Rundt 80%;Rundt 50%;Rundt 100%
Forhindrer masken spredning av utløpte dråper gjennom munnen når du hoster?3;Nei;Ja;Ja, fordi den holder pusten
Takket være hoste eller nysing kan viruset projiseres til…3;mer enn 3 meter;mer enn 2 meter;mer enn 1 meter
Mens du snakker, projiseres viruset til…2;mindre enn 1 meter;mer enn 1 meter;mindre enn 2 meter
Viruset kan komme inn i kroppen min gjennom…2;Nesen og munnen;Nesen, munnen og øynene;Nesen, munnen, øynene og ørene
Spiller tro en rolle når man følger tiltakene mot COVID-19?1;Ja;Nei, det er et spørsmål om lokal politikk;Nei, det er rett og slett kollektivt ansvar
Kan viruset vedvare i frossen mat?3;Ja;Nei, forkjølelsen dreper virus og bakterier;Ja, men ikke lenge
Er det virus i mat?3;Ja;Nei;Ja, bortsett fra frossen mat
Hvor mange prosent av dødsfallene skjer gjennom formitter?3;25%;45%;10%
Hva har størst innflytelse på SARS-CoV-2?3;Temperatur;Luftfuktighet;pH
SARS-CoV-2 har en halveringstid på kobber på…3;1t;2t;4t
SARS-CoV-2 kan påvises på bomull under…3;24 timer;3 timer;10 timer
SARS-CoV-2 kan inaktiveres ved eksponering for…3;UV-stråling;infrarøde stråler;gammastråling
SARS-CoV-2 har en levetid på kobber av…3;4t;2t;1t
SARS-CoV-2 er smittsom på plast i…3;120 timer;12 timer;30 timer
SARS-CoV-2 er smittsom på glass i…3;120 timer;60 timer;30 timer
SARS-CoV-2 er smittsom på rustfritt stål i…3;72 timer;24 timer;48 timer
Hvilke materialer beskytter bedre mot virus, absorberende materialer eller ikke-absorberende materialer?3;absorberende materialer;Ikke-absorberende materialer;Ingen av dem
Kan viruset overleve temperaturer under -20°C?2;Ja, viruset er deaktivert;Nei, viruset er deaktivert;Ja
Hvilket desinfeksjonsmiddel kan brukes for å effektivt inaktivere SARS-CoV-2?2;Hydrogenperoksid;Metanol;Natriumklorid
Klordioksid kan redusere virusmengden i aerosoler?2;Ja;Nei;Nei, bare på overflatene
Kan peroksyeddiksyre redusere virusmengden i aerosoler?2;Ja;Nei;Nei, bare på overflatene
Kan ozon redusere virusmengden i aerosoler?3;Ja;Ja, fordi det er en gass;Nei, fordi det er en gass
Hvor mange prosent av verdens befolkning puster luft som ikke oppfyller FNs minstekrav?2;92%;64%;83%
Hva bør være minimumseffektiviteten til en maske for å bli vurdert brukt?3;94%;50%;99%
Kan covid-19 oppdages med ultralyd?1;Ja;Nei;Nei, det er for lite til det
Er det bedre å bruke en ikke-sertifisert maske eller gjenbruke en ordentlig vasket maske?2;En sertifisert og gjenbrukt maske;En ikke-sertifisert maske;Ingen av begge
Er ikke-sertifiserte masker mer effektive enn å ikke bruke maske?1;Nei;Ja;De to er like ineffektive
Demotiverer en godt øl viruset?1;Nei;Ja;Nei, men det hjelper på immuniteten
Hvis du kjøpte 140 ruller toalettpapir for 14 dagers karantene…1;Burde du ha gått til legen lenge før pandemien;Kan du være sikker på at det er nok i 6 måneder;Kan du være sikker på at det er nok i 6 måneder
Økningen i vindhastighet…2;reduserer forekomsten av covid-19;øker forekomsten av covid-19;påvirker ikke forekomsten av COVID-19
