Om groente te wassen die aan het publiek worden verkocht, volstaat het om…1;ze te weken in koud water;ze af te vegen met een schone doek;ze te weken in heet water
Waarom helpt het kopen van een wodka en het drinken ervan niet tegen COVID-19, zoals meneer Trump heeft gezegd?1;Omdat alcohol het immuunsysteem verzwakt;Omdat de alcohol in de wodka te geconcentreerd is;Omdat de alcohol in de wodka niet voldoende geconcentreerd is
Wat is de ideale temperatuur voor virussen?2;20°C;10°C;30°C
Wat is de optimale relatieve luchtvochtigheid om het virus zo lang mogelijk in bedwang te houden?3;Ongeveer 80%;Ongeveer 100%;Ongeveer 50%
Voorkomt het mondkapje de verspreiding van vervallen druppels door de mond bij hoesten?3;Nee;Ja;Ja, want het mondkapje houdt de uitstoot van adem tegen
Door hoesten of niezen kan het virus worden overgedragen over een afstand van…3;meer dan 2 meter;meer dan 3 meter;meer dan 1 meter
Al pratend wordt het virus overgedragen over een afstand van…2;minder dan 1 meter;minder dan 2 meter;meer dan 1 meter
Het virus kan mijn lichaam binnendringen via…2;de neus en de mond;de neus, de mond en de ogen;de neus, de mond, de ogen en de oren
Spelen geloofsovertuigingen een rol bij het volgen van de maatregelen tegen COVID-19?1;Ja;Nee, het is gewoon een collectieve verantwoordelijkheid;Nee, het is een kwestie van lokaal beleid
Kan het virus blijven bestaan ​​in diepvriesproducten?3;Ja;Nee, de kou doodt virussen en bacteriën;Ja, maar niet voor lang
Kunnen er virussen in voedsel zitten?3;Ja;Nee;Ja, behalve in diepvriesproducten
Welk percentage van de sterfgevallen wordt veroorzaakt door geïnfecteerden?3;25%;10%;45%
Wat heeft de meeste invloed op SARS-CoV-2?3;Temperatuur;Vochtigheid;pH
SARS-CoV-2 heeft een halveringstijd op koper van…3;1 uur;4 uur;2 uur
SARS-CoV-2 is detecteerbaar op katoen gedurende…3;24 uur;3 uur;10 uur
SARS-CoV-2 kan worden geïnactiveerd door blootstelling aan…3;UV straling;infraroodstralen;gammastraling
SARS-CoV-2 heeft een levensduur op koper van…3;4 uur;2 uur;1 uur
SARS-CoV-2 besmettelijk via plastic gedurende…3;120 uur;12 uur;15 uur
SARS-CoV-2 is via glas besmettelijk gedurende…3;120 uur;60 uur;15 uur
SARS-CoV-2 is via roestvrij staal besmettelijk…3;72 uur;24 uur;48 uur
Welke materialen beschermen beter tegen het virus, absorberende materialen of niet-absorberende materialen?3;Absorberende materialen;Niet-absorberende materialen;Geen van beide
Overleeft het virus temperaturen onder de -20°C?2;Ja, het virus is gedeactiveerd;Nee, het virus is gedeactiveerd;Ja
Welk desinfectiemiddel kan worden gebruikt om SARS-CoV-2 effectief te inactiveren?2;Waterstof peroxide;Methanol;Natriumchloride
Chloordioxide kan de virale aanwezigheid in aerosolen verminderen?2;Ja;Nee;Nee, alleen op de oppervlakken
Kan peroxyazijnzuur de virale belasting in aerosolen verminderen?2;Ja;Nee;Nee, alleen op de oppervlakken
Kan ozon de virale belasting in aerosolen verminderen?3;Ja;Nee, want het is een gas;Ja, want het is een gas
Welk percentage van de wereldbevolking ademt lucht in die niet voldoet aan de minimum - normen van de VN?2;92%;64%;83%
Wat moet de minimale effectiviteit zijn van een mondmasker om als gebruikt te worden beschouwd?3;94%;50%;99%
Kan COVID-19 worden opgespoord met ultrasoon golven?1;Ja;Nee;Nee, daar is het te klein voor
Is het beter om een ​​niet-gecertificeerd masker te gebruiken of een goed gewassen masker te hergebruiken?2;Een gecertificeerd en hergebruikt masker;Een niet-gecertificeerde mondmasker;Geen van beide
Zijn niet-gecertificeerde maskers effectiever dan geen masker dragen?1;Nee;Ja;De twee zijn even ineffectief
Demotiveert een goed bier het virus?1;Nee;Ja;Nee, maar het helpt tegen immuniteit
Als je 140 rollen wc-papier hebt gekocht voor 14 dagen quarantaine…1;Je had lang voor de pandemie naar de dokter moeten gaan;U kunt er zeker van zijn dat het genoeg zal zijn voor 6 maanden;U kunt er zeker van zijn dat het genoeg zal zijn voor de hele pandemie
De toename van de windsnelheid…2;neemt de incidentie van COVID-19 af;heeft geen invloed op de incidentie van COVID-19;neemt de incidentie van COVID-19 toe
